courier_event_id,order_id,courier_id,store_id,event_type,event_timestamp,_loaded_at
CE001,ORD001,COU001,STR001,picking,2024-01-15 10:04:00,2024-01-15 10:04:05
CE002,ORD001,COU001,STR001,packed,2024-01-15 10:06:00,2024-01-15 10:06:05
CE003,ORD001,COU001,STR001,dispatched,2024-01-15 10:07:00,2024-01-15 10:07:05
CE004,ORD001,COU001,STR001,delivered,2024-01-15 10:18:00,2024-01-15 10:18:05
CE005,ORD002,COU002,STR001,picking,2024-01-15 10:11:00,2024-01-15 10:11:05
CE006,ORD002,COU002,STR001,packed,2024-01-15 10:13:00,2024-01-15 10:13:05
CE007,ORD002,COU002,STR001,dispatched,2024-01-15 10:14:00,2024-01-15 10:14:05
CE008,ORD002,COU002,STR001,delivered,2024-01-15 10:28:00,2024-01-15 10:28:05
CE009,ORD003,COU003,STR002,picking,2024-01-15 11:01:00,2024-01-15 11:01:05
CE010,ORD003,COU003,STR002,packed,2024-01-15 11:03:00,2024-01-15 11:03:05
CE011,ORD004,COU004,STR003,picking,2024-01-15 12:01:00,2024-01-15 12:01:05
CE012,ORD004,COU004,STR003,packed,2024-01-15 12:02:00,2024-01-15 12:02:05
CE013,ORD004,COU004,STR003,dispatched,2024-01-15 12:03:00,2024-01-15 12:03:05
CE014,ORD004,COU004,STR003,delivered,2024-01-15 12:04:00,2024-01-15 12:04:05
CE015,ORD005,COU001,STR001,picking,2024-01-15 13:01:00,2024-01-15 13:01:05
CE016,ORD005,COU001,STR001,packed,2024-01-15 13:03:00,2024-01-15 13:03:05
CE017,ORD005,COU001,STR001,dispatched,2024-01-15 13:04:00,2024-01-15 13:04:05
CE018,ORD005,COU001,STR001,delivered,2024-01-15 13:19:00,2024-01-15 13:19:05
CE018,ORD005,COU001,STR001,delivered,2024-01-15 13:19:00,2024-01-15 13:19:08
CE019,ORD006,COU005,STR002,picking,2024-01-15 14:01:30,2024-01-15 14:01:35
CE020,ORD006,COU005,STR002,packed,2024-01-15 14:04:00,2024-01-15 14:04:05
CE021,ORD006,COU005,STR002,dispatched,2024-01-15 14:05:00,2024-01-15 14:05:05
CE022,ORD006,COU005,STR002,delivered,2024-01-15 14:22:00,2024-01-15 14:22:05
