stock_movement_id,sku_id,store_id,order_id,event_type,quantity,event_timestamp,_loaded_at
INV001,SKU001,STR001,,received,50,2024-01-15 06:00:00,2024-01-15 06:00:05
INV002,SKU002,STR001,,received,30,2024-01-15 06:00:00,2024-01-15 06:00:05
INV003,SKU003,STR001,,received,40,2024-01-15 06:00:00,2024-01-15 06:00:05
INV004,SKU004,STR001,,received,25,2024-01-15 06:00:00,2024-01-15 06:00:05
INV005,SKU005,STR001,,received,60,2024-01-15 06:00:00,2024-01-15 06:00:05
INV006,SKU001,STR001,ORD001,picked,-2,2024-01-15 10:04:00,2024-01-15 10:04:05
INV007,SKU003,STR001,ORD001,picked,-1,2024-01-15 10:04:00,2024-01-15 10:04:05
INV008,SKU005,STR001,ORD001,picked,-3,2024-01-15 10:04:00,2024-01-15 10:04:05
INV009,SKU002,STR001,ORD002,picked,-1,2024-01-15 10:11:00,2024-01-15 10:11:05
INV010,SKU004,STR001,ORD002,picked,-2,2024-01-15 10:11:00,2024-01-15 10:11:05
INV011,SKU001,STR002,,received,45,2024-01-15 06:00:00,2024-01-15 06:00:05
INV012,SKU006,STR002,,received,35,2024-01-15 06:00:00,2024-01-15 06:00:05
INV013,SKU001,STR002,ORD003,picked,-1,2024-01-15 11:01:00,2024-01-15 11:01:05
INV014,SKU006,STR002,ORD003,picked,-2,2024-01-15 11:01:00,2024-01-15 11:01:05
INV015,SKU003,STR003,,received,20,2024-01-15 06:00:00,2024-01-15 06:00:05
INV016,SKU007,STR003,,received,80,2024-01-15 06:00:00,2024-01-15 06:00:05
INV017,SKU003,STR003,ORD004,picked,-1,2024-01-15 12:01:00,2024-01-15 12:01:05
INV018,SKU007,STR003,ORD004,picked,-4,2024-01-15 12:01:00,2024-01-15 12:01:05
INV019,SKU002,STR001,ORD005,picked,-2,2024-01-15 13:01:00,2024-01-15 13:01:05
INV020,SKU005,STR001,ORD005,picked,-1,2024-01-15 13:01:00,2024-01-15 13:01:05
INV021,SKU005,STR001,,wasted,-5,2024-01-15 18:00:00,2024-01-15 18:00:05
INV022,SKU001,STR002,ORD006,picked,-3,2024-01-15 14:01:30,2024-01-15 14:01:35
INV023,SKU004,STR002,ORD006,picked,-2,2024-01-15 14:01:30,2024-01-15 14:01:35
INV024,SKU008,STR002,ORD006,picked,-1,2024-01-15 14:01:30,2024-01-15 14:01:35
