line_item_id,order_id,sku_id,quantity,price_net,price_gross,tax_code,tax_rate,_loaded_at
LI001,ORD001,SKU001,2,1.50,1.79,VAT_DE_7,0.07,2024-01-15 10:03:05
LI002,ORD001,SKU003,1,3.20,3.81,VAT_DE_19,0.19,2024-01-15 10:03:05
LI003,ORD001,SKU005,3,0.80,0.95,VAT_DE_7,0.07,2024-01-15 10:03:05
LI004,ORD002,SKU002,1,5.50,6.55,VAT_DE_19,0.19,2024-01-15 10:10:05
LI005,ORD002,SKU004,2,2.10,2.50,VAT_DE_7,0.07,2024-01-15 10:10:05
LI006,ORD003,SKU001,1,1.50,1.79,VAT_NL_9,0.09,2024-01-15 11:00:05
LI007,ORD003,SKU006,2,1.20,1.31,VAT_NL_9,0.09,2024-01-15 11:00:05
LI008,ORD004,SKU003,1,3.20,3.81,VAT_DE_19,0.19,2024-01-15 12:00:05
LI009,ORD004,SKU007,4,0.60,0.71,VAT_DE_7,0.07,2024-01-15 12:00:05
LI010,ORD005,SKU002,2,5.50,6.55,VAT_DE_19,0.19,2024-01-15 13:00:05
LI011,ORD005,SKU005,1,0.80,0.95,VAT_DE_7,0.07,2024-01-15 13:00:05
LI012,ORD006,SKU001,3,1.50,1.79,VAT_NL_9,0.09,2024-01-15 14:00:05
LI013,ORD006,SKU004,2,2.10,2.50,VAT_NL_9,0.09,2024-01-15 14:00:05
LI014,ORD006,SKU008,1,8.99,9.79,VAT_NL_21,0.21,2024-01-15 14:00:05
